"","ticker","zero column","date","time","open","high","low","close","vol","second zero column"
"941216","ORANGEPL",0,20200922,104432,7.145,7.145,7.145,7.145,941,0
"941217","ORANGEPL",0,20200922,104433,7.145,7.145,7.145,7.145,538,0
"941218","ORANGEPL",0,20200922,104501,7.13,7.13,7.115,7.115,12735,0
"941219","ORANGEPL",0,20200922,104502,7.115,7.115,7.115,7.115,1289,0
"941220","ORANGEPL",0,20200922,104509,7.1,7.1,7.1,7.1,1562,0
"941221","ORANGEPL",0,20200922,104511,7.1,7.1,7.1,7.1,3872,0
"941222","ORANGEPL",0,20200922,104544,7.12,7.12,7.12,7.12,333,0
"941223","ORANGEPL",0,20200922,104548,7.12,7.125,7.12,7.125,1959,0
"941224","ORANGEPL",0,20200922,105021,7.11,7.11,7.11,7.11,67,0
"941225","ORANGEPL",0,20200922,105044,7.125,7.125,7.125,7.125,100,0
"941226","ORANGEPL",0,20200922,105052,7.125,7.125,7.125,7.125,1,0
"941227","ORANGEPL",0,20200922,105203,7.125,7.125,7.125,7.125,2200,0
"941228","ORANGEPL",0,20200922,105327,7.13,7.13,7.13,7.13,135,0
"941229","ORANGEPL",0,20200922,105409,7.13,7.13,7.13,7.13,270,0
"941230","ORANGEPL",0,20200922,105410,7.13,7.135,7.13,7.135,135,0
"941231","ORANGEPL",0,20200922,105411,7.135,7.135,7.135,7.135,405,0
"941232","ORANGEPL",0,20200922,105529,7.115,7.115,7.115,7.115,3,0
"941233","ORANGEPL",0,20200922,105553,7.125,7.13,7.12,7.13,2593,0
"941234","ORANGEPL",0,20200922,105628,7.13,7.135,7.13,7.135,5624,0
"941235","ORANGEPL",0,20200922,105633,7.13,7.13,7.13,7.13,3772,0
"941236","ORANGEPL",0,20200922,105637,7.13,7.135,7.13,7.135,3331,0
"941237","ORANGEPL",0,20200922,105639,7.135,7.135,7.135,7.135,1950,0
"941238","ORANGEPL",0,20200922,105643,7.13,7.13,7.11,7.11,13498,0
"941239","ORANGEPL",0,20200922,105644,7.125,7.135,7.125,7.135,1451,0
"941240","ORANGEPL",0,20200922,105650,7.12,7.12,7.12,7.12,335,0
"941241","ORANGEPL",0,20200922,105652,7.115,7.115,7.115,7.115,337,0
"941242","ORANGEPL",0,20200922,105653,7.12,7.12,7.12,7.12,307,0
"941243","ORANGEPL",0,20200922,105658,7.11,7.11,7.11,7.11,388,0
"941244","ORANGEPL",0,20200922,105700,7.105,7.105,7.105,7.105,307,0
"941245","ORANGEPL",0,20200922,105701,7.11,7.11,7.11,7.11,272,0
"941246","ORANGEPL",0,20200922,105705,7.1,7.1,7.1,7.1,2263,0
"941247","ORANGEPL",0,20200922,105708,7.1,7.1,7.1,7.1,2840,0
"941248","ORANGEPL",0,20200922,105737,7.095,7.095,7.095,7.095,1,0
"941249","ORANGEPL",0,20200922,105802,7.115,7.115,7.115,7.115,1,0
"941250","ORANGEPL",0,20200922,105923,7.115,7.115,7.115,7.115,276,0
"941251","ORANGEPL",0,20200922,110349,7.095,7.095,7.095,7.095,135,0
"941252","ORANGEPL",0,20200922,110518,7.115,7.115,7.115,7.115,1484,0
"941253","ORANGEPL",0,20200922,110525,7.115,7.12,7.115,7.12,2198,0
"941254","ORANGEPL",0,20200922,110532,7.13,7.13,7.13,7.13,414,0
"941255","ORANGEPL",0,20200922,110710,7.13,7.13,7.13,7.13,270,0
"941256","ORANGEPL",0,20200922,110711,7.13,7.13,7.13,7.13,1737,0
"941257","ORANGEPL",0,20200922,110712,7.135,7.135,7.135,7.135,135,0
"941258","ORANGEPL",0,20200922,110717,7.135,7.14,7.135,7.14,945,0
"941259","ORANGEPL",0,20200922,110726,7.14,7.14,7.14,7.14,2471,0
"941260","ORANGEPL",0,20200922,110727,7.135,7.135,7.135,7.135,1501,0
"941261","ORANGEPL",0,20200922,110745,7.14,7.145,7.14,7.145,5000,0
"941262","ORANGEPL",0,20200922,110753,7.14,7.145,7.14,7.145,5000,0
"941263","ORANGEPL",0,20200922,110758,7.13,7.13,7.13,7.13,1796,0
"941264","ORANGEPL",0,20200922,110915,7.14,7.14,7.14,7.14,1484,0
"941265","ORANGEPL",0,20200922,110916,7.14,7.14,7.14,7.14,380,0
"941266","ORANGEPL",0,20200922,110917,7.14,7.14,7.14,7.14,380,0
"941267","ORANGEPL",0,20200922,110928,7.14,7.14,7.14,7.14,10,0
"941268","ORANGEPL",0,20200922,110931,7.14,7.14,7.14,7.14,381,0
"941269","ORANGEPL",0,20200922,111047,7.14,7.14,7.14,7.14,241,0
